"samp_session","id","treatment","prior_temp_24","prior_temp_26","prior_temp_28","prior_temp_30","prior_temp_32","prior_temp_34","lnmass_24","lnmass_26","lnmass_28","lnmass_30","lnmass_32","lnmass_34","z_lnmass_24","z_lnmass_26","z_lnmass_28","z_lnmass_30","z_lnmass_32","z_lnmass_34","lnmr_24","lnmr_26","lnmr_28","lnmr_30","lnmr_32","lnmr_34"
6,"ld0449",29,16.1,30,NA,15.5,NA,24,-1.42295834549148,-1.42711635564015,NA,-1.42711635564015,NA,-1.42295834549148,0.0937167189061337,0.0736378639506656,NA,0.0736378639506656,NA,0.0937167189061337,-6.75379612499761,-6.39470277942993,NA,-6.27564220512392,NA,-5.95367342352571
6,"ld0449",29,16.1,30,NA,15.5,NA,24,-1.42295834549148,-1.42711635564015,NA,-1.42711635564015,NA,-1.42295834549148,0.0937167189061337,0.0736378639506656,NA,0.0736378639506656,NA,0.0937167189061337,-6.88424901339504,-6.52709196747568,NA,-5.94425137587949,NA,-6.0625841152001
7,"ld0449",29,18.3,32,NA,NA,16.6,24,-1.35479569406052,-1.40242374304977,NA,NA,-1.40242374304977,-1.35479569406052,0.422871276622218,0.192877444650814,NA,NA,0.192877444650814,0.422871276622218,-6.98303707741591,-6.55845515312104,NA,NA,-5.94736565049996,-6.31403645138112
7,"ld0449",29,18.3,32,NA,NA,16.6,24,-1.35479569406052,-1.40242374304977,NA,NA,-1.40242374304977,-1.35479569406052,0.422871276622218,0.192877444650814,NA,NA,0.192877444650814,0.422871276622218,-7.04613778378386,-6.60030226305654,NA,NA,-5.91066428364953,-6.19684776938265
8,"ld0449",29,NA,NA,NA,NA,NA,NA,-1.36257783450257,-1.36257783450257,NA,-1.36257783450257,NA,-1.36257783450257,0.385291649927628,0.385291649927628,NA,0.385291649927628,NA,0.385291649927628,-6.63009739353515,-6.6156417860542,NA,-6.21275179213188,NA,-6.51991323148421
8,"ld0449",29,NA,NA,NA,NA,NA,NA,-1.36257783450257,-1.36257783450257,NA,-1.36257783450257,NA,-1.36257783450257,0.385291649927628,0.385291649927628,NA,0.385291649927628,NA,0.385291649927628,-6.56077454349381,-6.80611455507886,NA,-6.26628043792125,NA,-5.88164098636211
9,"ld0449",29,NA,NA,NA,NA,NA,NA,-1.25526609871349,-1.27296567581289,NA,-1.27296567581289,NA,-1.25526609871349,0.903495478415404,0.818024970012197,NA,0.818024970012197,NA,0.903495478415404,-6.06995328467557,-6.18923351438414,NA,-6.24613674954173,NA,-5.41356158111601
9,"ld0449",29,NA,NA,NA,NA,NA,NA,-1.25526609871349,-1.27296567581289,NA,-1.27296567581289,NA,-1.25526609871349,0.903495478415404,0.818024970012197,NA,0.818024970012197,NA,0.903495478415404,-6.10713228791733,-6.33797877564449,NA,-6.11499674904928,NA,-5.56132246284449
10,"ld0449",29,NA,NA,NA,NA,NA,NA,-1.25526609871349,NA,-1.26584820804402,-1.25526609871349,NA,-1.26584820804402,0.903495478415404,NA,0.852394920510552,0.903495478415404,NA,0.852394920510552,-6.64110687964183,NA,-6.41861096159224,-5.90185786826196,NA,-6.13823411726211
10,"ld0449",29,NA,NA,NA,NA,NA,NA,-1.25526609871349,NA,-1.26584820804402,-1.25526609871349,NA,-1.26584820804402,0.903495478415404,NA,0.852394920510552,0.903495478415404,NA,0.852394920510552,-6.7648040431603,NA,-6.23628940479829,-5.77683052532697,NA,-6.29683914743875
1,"ld0451",29,24.1,NA,32,NA,25.5,24,-1.49165487677772,NA,-1.50959257746438,NA,-1.50959257746438,-1.49165487677772,-0.238015922026296,NA,-0.32463631915013,NA,-0.32463631915013,-0.238015922026296,-6.65119207270587,NA,-6.62279090430551,NA,-6.25871446858493,-5.82054263991111
1,"ld0451",29,24.1,NA,32,NA,25.5,24,-1.49165487677772,NA,-1.50959257746438,NA,-1.50959257746438,-1.49165487677772,-0.238015922026296,NA,-0.32463631915013,NA,-0.32463631915013,-0.238015922026296,-6.49566870906664,NA,-6.54115794980864,NA,-6.11810251783249,-6.30238072680385
2,"ld0451",29,25.5,NA,34,NA,24,24.1,-1.43548460531066,NA,-1.43969513784701,NA,-1.43548460531066,-1.43969513784701,0.0332279406080199,NA,0.0128954572662731,NA,0.0332279406080199,0.0128954572662731,-6.69434282213225,NA,-6.65217095967988,NA,-5.90516881602221,-6.18923668168243
