"date","samp_session","id","series_temp","treatment","age","temp","z_age","z_lnmass","lnmr","temp_I2"
"2018-04-07",1,"ld0550","ld0550_1_26",29,36,26,-2.57143406438197,-1.34246902396503,-6.71543160930909,676
"2018-04-07",1,"ld0553","ld0553_1_24",23,26,24,-2.83278522449804,-2.13202912229995,-6.23511184049543,576
"2018-04-07",1,"ld0553","ld0553_1_24",23,26,24,-2.83278522449804,-2.13202912229995,-6.38004586521777,576
"2018-04-07",1,"ld0553","ld0553_1_34",23,26,34,-2.83278522449804,-2.13202912229995,-5.88012158864143,1156
"2018-04-07",1,"ld0553","ld0553_1_34",23,26,34,-2.83278522449804,-2.13202912229995,-5.74171926578231,1156
"2018-04-08",1,"ld0449","ld0449_1_24",29,131,24,-0.088598043279346,-0.502682575449845,-6.86383410332646,576
"2018-04-08",1,"ld0449","ld0449_1_24",29,131,24,-0.088598043279346,-0.502682575449845,-6.75921902191859,576
"2018-04-08",1,"ld0449","ld0449_1_32",29,131,32,-0.088598043279346,-0.502682575449845,-6.08619170401761,1024
"2018-04-08",1,"ld0449","ld0449_1_32",29,131,32,-0.088598043279346,-0.502682575449845,-6.1359037284692,1024
"2018-04-08",1,"ld0451","ld0451_1_32",29,125,32,-0.245408739348985,-0.32463631915013,-6.25871446858493,1024
"2018-04-08",1,"ld0451","ld0451_1_32",29,125,32,-0.245408739348985,-0.32463631915013,-6.11810251783249,1024
"2018-04-08",1,"ld0451","ld0451_1_28",29,125,28,-0.245408739348985,-0.32463631915013,-6.62279090430551,784
"2018-04-08",1,"ld0451","ld0451_1_28",29,125,28,-0.245408739348985,-0.32463631915013,-6.54115794980864,784
"2018-04-08",1,"ld0455","ld0455_1_24",29,121,24,-0.349949203395412,-0.302835118872163,-6.67817015394074,576
"2018-04-08",1,"ld0455","ld0455_1_24",29,121,24,-0.349949203395412,-0.302835118872163,-6.76878838786136,576
"2018-04-08",1,"ld0455","ld0455_1_32",29,121,32,-0.349949203395412,-0.302835118872163,-5.89298658897756,1024
"2018-04-08",1,"ld0455","ld0455_1_32",29,121,32,-0.349949203395412,-0.302835118872163,-5.87712457031023,1024
"2018-04-08",1,"ld0457","ld0457_1_24",29,120,24,-0.376084319407018,-0.525407124019504,-6.68050516857783,576
"2018-04-08",1,"ld0457","ld0457_1_24",29,120,24,-0.376084319407018,-0.525407124019504,-6.60985940415258,576
"2018-04-08",1,"ld0457","ld0457_1_32",29,120,32,-0.376084319407018,-0.525407124019504,-6.28512523146371,1024
"2018-04-08",1,"ld0457","ld0457_1_32",29,120,32,-0.376084319407018,-0.525407124019504,-6.61758187275157,1024
"2018-04-08",1,"ld0460","ld0460_1_24",23,115,24,-0.506759899465051,-0.640662181169936,-6.68540866022926,576
"2018-04-08",1,"ld0460","ld0460_1_24",23,115,24,-0.506759899465051,-0.640662181169936,-6.87122759755538,576
"2018-04-08",1,"ld0460","ld0460_1_32",23,115,32,-0.506759899465051,-0.640662181169936,-6.30779544231122,1024
"2018-04-08",1,"ld0461","ld0461_1_32",23,114,32,-0.532895015476658,-0.664047009724141,-6.32018269842956,1024
"2018-04-08",1,"ld0461","ld0461_1_32",23,114,32,-0.532895015476658,-0.664047009724141,-6.11223924363833,1024
"2018-04-08",1,"ld0461","ld0461_1_28",23,114,28,-0.532895015476658,-0.664047009724141,-6.58202986862512,784
"2018-04-08",1,"ld0461","ld0461_1_28",23,114,28,-0.532895015476658,-0.664047009724141,-6.36464236596847,784
"2018-04-08",1,"ld0471","ld0471_1_32",29,110,32,-0.637435479523084,-0.480064465436885,-6.3436830091422,1024
"2018-04-08",1,"ld0471","ld0471_1_32",29,110,32,-0.637435479523084,-0.480064465436885,-5.89317072314344,1024
"2018-04-08",1,"ld0471","ld0471_1_28",29,110,28,-0.637435479523084,-0.480064465436885,-6.71915085881026,784
"2018-04-08",1,"ld0472","ld0472_1_24",29,110,24,-0.637435479523084,-0.548239117662636,-7.36130740767194,576
"2018-04-08",1,"ld0472","ld0472_1_24",29,110,24,-0.637435479523084,-0.548239117662636,-7.02869414794977,576
"2018-04-08",1,"ld0472","ld0472_1_32",29,110,32,-0.637435479523084,-0.548239117662636,-6.04903360235657,1024
"2018-04-08",1,"ld0472","ld0472_1_32",29,110,32,-0.637435479523084,-0.548239117662636,-5.92607189122174,1024
"2018-04-08",1,"ld0473","ld0473_1_32",29,110,32,-0.637435479523084,-0.640662181169936,-5.83151252852262,1024
"2018-04-08",1,"ld0473","ld0473_1_32",29,110,32,-0.637435479523084,-0.640662181169936,-5.7457457067652,1024
"2018-04-08",1,"ld0473","ld0473_1_28",29,110,28,-0.637435479523084,-0.640662181169936,-6.18322363121746,784
"2018-04-08",1,"ld0473","ld0473_1_28",29,110,28,-0.637435479523084,-0.640662181169936,-6.09806582287715,784
"2018-04-08",1,"ld0479","ld0479_1_32",23,107,32,-0.715840827557904,-0.457551801541114,-5.8466650371329,1024
"2018-04-08",1,"ld0479","ld0479_1_32",23,107,32,-0.715840827557904,-0.457551801541114,-6.0660278656072,1024
"2018-04-08",1,"ld0479","ld0479_1_28",23,107,28,-0.715840827557904,-0.457551801541114,-6.38088626658844,784
"2018-04-08",1,"ld0479","ld0479_1_28",23,107,28,-0.715840827557904,-0.457551801541114,-6.59102806559347,784
"2018-04-08",1,"ld0481","ld0481_1_24",23,107,24,-0.715840827557904,-0.687545633512517,-7.44556258636698,576
"2018-04-08",1,"ld0481","ld0481_1_24",23,107,24,-0.715840827557904,-0.687545633512517,-7.0233496209576,576
"2018-04-08",1,"ld0481","ld0481_1_32",23,107,32,-0.715840827557904,-0.687545633512517,-6.27654031900801,1024
"2018-04-08",1,"ld0481","ld0481_1_32",23,107,32,-0.715840827557904,-0.687545633512517,-6.35587921433577,1024
"2018-04-08",1,"ld0486","ld0486_1_24",29,101,24,-0.872651523627543,-0.978827346577207,-6.70155037418332,576
"2018-04-08",1,"ld0486","ld0486_1_24",29,101,24,-0.872651523627543,-0.978827346577207,-6.75357771151198,576
"2018-04-08",1,"ld0486","ld0486_1_32",29,101,32,-0.872651523627543,-0.978827346577207,-6.19223607719976,1024
"2018-04-08",1,"ld0486","ld0486_1_32",29,101,32,-0.872651523627543,-0.978827346577207,-6.30759486924464,1024
"2018-04-08",1,"ld0494","ld0494_1_24",23,93,24,-1.0817324517204,-0.664047009724141,-6.69164826132372,576
"2018-04-08",1,"ld0494","ld0494_1_24",23,93,24,-1.0817324517204,-0.664047009724141,-6.52981965787552,576
"2018-04-08",1,"ld0494","ld0494_1_32",23,93,32,-1.0817324517204,-0.664047009724141,-5.71115550076006,1024
"2018-04-08",1,"ld0494","ld0494_1_32",23,93,32,-1.0817324517204,-0.664047009724141,-5.83144166663456,1024
"2018-04-08",1,"ld0497","ld0497_1_32",23,92,32,-1.107867567732,-0.734888734872359,-6.73293086391601,1024
"2018-04-08",1,"ld0497","ld0497_1_32",23,92,32,-1.107867567732,-0.734888734872359,-5.96456026211848,1024
"2018-04-08",1,"ld0497","ld0497_1_28",23,92,28,-1.107867567732,-0.734888734872359,-6.84280708919194,784
"2018-04-08",1,"ld0497","ld0497_1_28",23,92,28,-1.107867567732,-0.734888734872359,-6.23406982733867,784
"2018-04-08",1,"ld0503","ld0503_1_32",29,89,32,-1.18627291576682,-0.617390051021969,-6.21193538498057,1024
"2018-04-08",1,"ld0503","ld0503_1_32",29,89,32,-1.18627291576682,-0.617390051021969,-5.83451639555811,1024
"2018-04-08",1,"ld0503","ld0503_1_28",29,89,28,-1.18627291576682,-0.617390051021969,-6.48034704287513,784
"2018-04-08",1,"ld0503","ld0503_1_28",29,89,28,-1.18627291576682,-0.617390051021969,-6.01146567822751,784
"2018-04-08",1,"ld0507","ld0507_1_24",23,89,24,-1.18627291576682,-0.879768331277677,-7.06792519509273,576
"2018-04-08",1,"ld0507","ld0507_1_24",23,89,24,-1.18627291576682,-0.879768331277677,-6.54582877395811,576
"2018-04-08",1,"ld0507","ld0507_1_32",23,89,32,-1.18627291576682,-0.879768331277677,-6.18906235910383,1024
"2018-04-08",1,"ld0507","ld0507_1_32",23,89,32,-1.18627291576682,-0.879768331277677,-5.86184944789541,1024
"2018-04-08",1,"ld0512","ld0512_1_32",29,83,32,-1.34308361183646,-0.480064465436885,-6.39871928980859,1024
"2018-04-08",1,"ld0512","ld0512_1_32",29,83,32,-1.34308361183646,-0.480064465436885,-6.77245625902404,1024
"2018-04-08",1,"ld0512","ld0512_1_28",29,83,28,-1.34308361183646,-0.480064465436885,-6.65184717691415,784
"2018-04-08",1,"ld0512","ld0512_1_28",29,83,28,-1.34308361183646,-0.480064465436885,-6.92659550058136,784
"2018-04-08",1,"ld0513","ld0513_1_32",23,82,32,-1.36921872784807,-0.216601440548843,-5.9700180598484,1024
"2018-04-08",1,"ld0513","ld0513_1_32",23,82,32,-1.36921872784807,-0.216601440548843,-5.98730457500559,1024
"2018-04-08",1,"ld0513","ld0513_1_28",23,82,28,-1.36921872784807,-0.216601440548843,-6.26045694302097,784
"2018-04-08",1,"ld0513","ld0513_1_28",23,82,28,-1.36921872784807,-0.216601440548843,-6.26848911471824,784
"2018-04-08",1,"ld0519","ld0519_1_32",23,73,32,-1.60443477195253,-0.259525791263818,-5.96665306571883,1024
"2018-04-08",1,"ld0519","ld0519_1_32",23,73,32,-1.60443477195253,-0.259525791263818,-5.89259999789433,1024
"2018-04-08",1,"ld0519","ld0519_1_28",23,73,28,-1.60443477195253,-0.259525791263818,-6.36436758329526,784
"2018-04-08",1,"ld0519","ld0519_1_28",23,73,28,-1.60443477195253,-0.259525791263818,-6.26315198538112,784
"2018-04-08",1,"ld0539","ld0539_1_24",23,62,24,-1.8919210480802,-0.879768331277677,-7.11279253344978,576
"2018-04-08",1,"ld0539","ld0539_1_24",23,62,24,-1.8919210480802,-0.879768331277677,-6.9888673626307,576
"2018-04-08",1,"ld0539","ld0539_1_32",23,62,32,-1.8919210480802,-0.879768331277677,-6.63736762588849,1024
"2018-04-08",1,"ld0539","ld0539_1_32",23,62,32,-1.8919210480802,-0.879768331277677,-6.0937521792995,1024
"2018-04-08",1,"ld0543","ld0543_1_24",23,57,24,-2.02259662813823,-1.67756002211448,-6.92781305218867,576
"2018-04-08",1,"ld0543","ld0543_1_24",23,57,24,-2.02259662813823,-1.67756002211448,-6.80106134654953,576
"2018-04-08",1,"ld0543","ld0543_1_32",23,57,32,-2.02259662813823,-1.67756002211448,-6.26456198596185,1024
"2018-04-08",1,"ld0543","ld0543_1_32",23,57,32,-2.02259662813823,-1.67756002211448,-6.11406397498073,1024
"2018-04-08",1,"ld0544","ld0544_1_32",23,54,32,-2.10100197617305,-1.70656285800289,-6.15715164703273,1024
"2018-04-08",1,"ld0544","ld0544_1_32",23,54,32,-2.10100197617305,-1.70656285800289,-5.85586042886181,1024
"2018-04-08",1,"ld0544","ld0544_1_28",23,54,28,-2.10100197617305,-1.70656285800289,-6.532982161123,784
"2018-04-08",1,"ld0544","ld0544_1_28",23,54,28,-2.10100197617305,-1.70656285800289,-6.24293695247893,784
"2018-04-08",1,"ld0546","ld0546_1_32",29,48,32,-2.25781267224269,-0.904343232455262,-5.98165730468824,1024
"2018-04-08",1,"ld0546","ld0546_1_32",29,48,32,-2.25781267224269,-0.904343232455262,-5.80702641918933,1024
"2018-04-08",1,"ld0546","ld0546_1_28",29,48,28,-2.25781267224269,-0.904343232455262,-6.31680908994229,784
"2018-04-08",1,"ld0546","ld0546_1_28",29,48,28,-2.25781267224269,-0.904343232455262,-6.14598435980265,784
"2018-04-08",1,"ld0550","ld0550_1_24",29,37,24,-2.54529894837036,-1.47927584093389,-6.93269418195525,576
"2018-04-08",1,"ld0550","ld0550_1_24",29,37,24,-2.54529894837036,-1.47927584093389,-7.24517536894116,576
"2018-04-08",1,"ld0550","ld0550_1_32",29,37,32,-2.54529894837036,-1.47927584093389,-6.29888385862493,1024
"2018-04-08",1,"ld0550","ld0550_1_32",29,37,32,-2.54529894837036,-1.47927584093389,-6.10621189095646,1024
"2018-04-08",1,"ld0553","ld0553_1_32",23,27,32,-2.80665010848643,-2.3265100760181,-6.34645206237356,1024
"2018-04-08",1,"ld0553","ld0553_1_28",23,27,28,-2.80665010848643,-2.3265100760181,-6.69936759380528,784
"2018-04-09",1,"ld0458","ld0458_1_28",29,120,28,-0.376084319407018,-2.39311744457832,-6.17076109176156,784
"2018-04-09",1,"ld0458","ld0458_1_28",29,120,28,-0.376084319407018,-2.39311744457832,-6.34996252121927,784
"2018-04-09",1,"ld0458","ld0458_1_32",29,120,32,-0.376084319407018,-2.39311744457832,-5.91202235577869,1024
"2018-04-09",1,"ld0458","ld0458_1_32",29,120,32,-0.376084319407018,-2.39311744457832,-5.79423932012231,1024
"2018-04-09",1,"ld0463","ld0463_1_34",23,115,34,-0.506759899465051,-0.368536236578751,-6.05827583164721,1156
"2018-04-09",1,"ld0463","ld0463_1_34",23,115,34,-0.506759899465051,-0.368536236578751,-5.79001184505253,1156
"2018-04-09",1,"ld0463","ld0463_1_26",23,115,26,-0.506759899465051,-0.368536236578751,-6.39714341150343,676
"2018-04-09",1,"ld0463","ld0463_1_26",23,115,26,-0.506759899465051,-0.368536236578751,-6.46754473392745,676
"2018-04-09",1,"ld0466","ld0466_1_34",29,112,34,-0.585165247499871,-0.346536391422849,-5.75761593155289,1156
"2018-04-09",1,"ld0466","ld0466_1_34",29,112,34,-0.585165247499871,-0.346536391422849,-5.7350924568858,1156
"2018-04-09",1,"ld0466","ld0466_1_26",29,112,26,-0.585165247499871,-0.346536391422849,-6.1062542630242,676
"2018-04-09",1,"ld0466","ld0466_1_26",29,112,26,-0.585165247499871,-0.346536391422849,-5.93104096729479,676
"2018-04-09",1,"ld0469","ld0469_1_34",29,111,34,-0.611300363511478,-0.368536236578751,-5.89319608128776,1156
"2018-04-09",1,"ld0469","ld0469_1_34",29,111,34,-0.611300363511478,-0.368536236578751,-5.84233766405427,1156
"2018-04-09",1,"ld0469","ld0469_1_26",29,111,26,-0.611300363511478,-0.368536236578751,-6.32980708374152,676
"2018-04-09",1,"ld0469","ld0469_1_26",29,111,26,-0.611300363511478,-0.368536236578751,-6.22497171285606,676
"2018-04-09",1,"ld0477","ld0477_1_34",23,108,34,-0.689705711546297,-0.0900712936809144,-5.78784798219263,1156
"2018-04-09",1,"ld0477","ld0477_1_34",23,108,34,-0.689705711546297,-0.0900712936809144,-5.72713130901147,1156
"2018-04-09",1,"ld0477","ld0477_1_26",23,108,26,-0.689705711546297,-0.0900712936809144,-6.09013483931313,676
"2018-04-09",1,"ld0477","ld0477_1_26",23,108,26,-0.689705711546297,-0.0900712936809144,-6.61924250791657,676
"2018-04-09",1,"ld0487","ld0487_1_28",23,101,28,-0.872651523627543,-1.28881338684274,-6.13297202879632,784
"2018-04-09",1,"ld0487","ld0487_1_28",23,101,28,-0.872651523627543,-1.28881338684274,-5.90532734460132,784
"2018-04-09",1,"ld0487","ld0487_1_32",23,101,32,-0.872651523627543,-1.28881338684274,-5.71107010258256,1024
"2018-04-09",1,"ld0487","ld0487_1_32",23,101,32,-0.872651523627543,-1.28881338684274,-5.64061844163194,1024
"2018-04-09",1,"ld0488","ld0488_1_28",29,92,28,-1.107867567732,-0.830990566444791,-6.54057644772156,784
